City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,9.71,95,2,1.82,ZA,1723061926
1,bogorodskoye,56.55,37.8833,14.22,93,89,1.39,RU,1723062085
2,edinburgh of the seven seas,-37.0676,-12.3116,8.1,64,99,14.19,SH,1723061924
3,jamestown,42.097,-79.2353,25.31,63,100,4.63,US,1723061920
4,lihue,21.9789,-159.3672,28.58,69,75,6.17,US,1723062089
5,port-aux-francais,-49.35,70.2167,0.99,98,100,12.28,TF,1723062090
6,rice lake,45.5061,-91.7382,23.82,54,40,3.6,US,1723061973
7,floro,61.5996,5.0328,17.98,63,100,7.72,NO,1723062093
8,longyearbyen,78.2186,15.6401,10.91,93,75,1.03,SJ,1723062094
9,puerto natales,-51.7236,-72.4875,2.25,75,0,3.09,CL,1723062095
10,hawaiian paradise park,19.5933,-154.9731,28.18,73,40,3.6,US,1723062097
11,yurimaguas,-5.9,-76.0833,32.09,58,40,2.57,PE,1723062098
12,adamstown,-25.066,-130.1015,18.78,65,24,3.47,PN,1723061923
13,udachny,66.4167,112.4,12.29,58,85,3.91,RU,1723062100
14,portland,45.5234,-122.6762,28.04,53,0,1.34,US,1723061915
15,georgetown,5.4112,100.3354,26.96,79,20,1.03,MY,1723061963
16,glace bay,46.1969,-59.957,24.49,54,75,6.69,CA,1723062104
17,vadso,70.0744,29.7487,20.49,62,0,4.63,NO,1723062107
18,thompson,55.7435,-97.8558,19.09,45,75,6.17,CA,1723062108
19,invercargill,-46.4,168.35,7.23,92,51,0.89,NZ,1723062110
20,puerto ayora,-0.7393,-90.3518,25.98,95,30,4.02,EC,1723062111
21,palikir - national government center,6.9248,158.1611,24.41,88,20,1.54,FM,1723062112
22,ilulissat,69.2167,-51.1,5.01,93,75,3.09,GL,1723062114
23,bathsheba,13.2167,-59.5167,30.34,74,40,6.17,BB,1723062115
24,camarinas,43.1311,-9.1817,20.66,82,11,9.35,ES,1723062116
25,albany,42.6001,-73.9662,24.94,68,49,0.45,US,1723062102
26,papatowai,-46.5619,169.4708,7.08,93,100,2.83,NZ,1723062119
27,wailua homesteads,22.0669,-159.378,28.24,69,75,6.17,US,1723062120
28,san patricio,28.017,-97.5169,36.97,33,0,2.8,US,1723061966
29,waitangi,-43.9535,-176.5597,10.46,69,18,6.97,NZ,1723062123
30,hithadhoo,-0.6,73.0833,28.66,70,100,2.03,MV,1723062124
31,mbandaka,0.0487,18.2603,25.39,59,93,1.59,CD,1723062126
32,kumbo,6.2,10.6667,15.53,97,99,0.83,CM,1723062127
33,monteagudo,-19.8167,-63.9833,20.91,63,78,2.66,BO,1723062130
34,ribeira grande,38.5167,-28.7,26.22,65,20,4.02,PT,1723062131
35,iqaluit,63.7506,-68.5145,10.85,62,40,2.06,CA,1723062132
36,grytviken,-54.2811,-36.5092,-5.67,72,19,4.5,GS,1723062134
